"naptan_id","name","line_ids","modes"
"940GZZDLDEP","Deptford Bridge","dlr","dlr"
"940GZZDLDEV","Devons Road","dlr","dlr"
"940GZZLUDOH","Dollis Hill","jubilee","tube"
"9400ZZLUDOH2","Dollis Hill Station","jubilee","tube"
"910GEALINGB","Ealing Broadway","elizabeth,great-western-railway","elizabeth-line,national-rail"
"940GZZLUEBY","Ealing Broadway","central,district","tube"
"HUBEAL","Ealing Broadway","112,226,central,district,e1,e10,e9,elizabeth,great-western-railway","bus,elizabeth-line,national-rail,tube"
"9100EALINGB0","Ealing Broadway Station","elizabeth,great-western-railway","elizabeth-line,national-rail"
"9100EALINGB1","Ealing Broadway Station","elizabeth,great-western-railway","elizabeth-line,national-rail"
"940GZZLUECM","Ealing Common","district,piccadilly","tube"
"940GZZLUECT","Earl's Court","district,piccadilly","tube"
"940GZZLUEAN","East Acton","central","tube"
"940GZZLUEFY","East Finchley","northern","tube"
"940GZZLUEHM","East Ham","district,hammersmith-city","tube"
"940GZZDLEIN","East India","d3,dlr,n550,sl4","bus,dlr"
"940GZZLUEPY","East Putney","district","tube"
"940GZZLUEAE","Eastcote","metropolitan,piccadilly","tube"
"940GZZLUEGW","Edgware","northern","tube"
"940GZZLUERB","Edgware Road (Bakerloo)","bakerloo","tube"
"940GZZLUERC","Edgware Road (Circle Line)","circle,district,hammersmith-city","tube"
"910GEDMNGRN","Edmonton Green","greater-anglia,weaver","national-rail,overground"
"9100EDMNGRN0","Edmonton Green Station","greater-anglia,weaver","national-rail,overground"
"9100EDMNGRN1","Edmonton Green Station","greater-anglia,weaver","national-rail,overground"
"940GZZLUEAC","Elephant & Castle","bakerloo,northern","tube"
"HUBEPH","Elephant & Castle","1,172,188,363,415,453,53,63,bakerloo,bl1,n1,n53,n63,northern,southeastern,thameslink","bus,national-rail,tube"
"940GZZLUEPK","Elm Park","district","tube"
"9400ZZLUEPK2","Elm Park Station","district","tube"
"940GZZDLELV","Elverson Road","dlr","dlr"
"940GZZLUEMB","Embankment","bakerloo,circle,district,northern","tube"
"910GEMRSPKH","Emerson Park","liberty","overground"
"9100EMRSPKH0","Emerson Park Station","liberty","overground"
"910GENFLDTN","Enfield Town","weaver","overground"
"9100ENFLDTN0","Enfield Town Station","weaver","overground"
"940GZZLUEPG","Epping","central","tube"
"940GZZLUEUS","Euston","northern,victoria","tube"
"HUBEUS","Euston","1,30,68,91,avanti-west-coast,lioness,n20,n253,n5,n91,northern,victoria,west-midlands-trains","bus,national-rail,overground,tube"
"940GZZLUESQ","Euston Square","circle,hammersmith-city,metropolitan","tube"
"9100EUSTON0","Euston Station","avanti-west-coast,lioness,west-midlands-trains","national-rail,overground"
"940GZZLUFLP","Fairlop","central","tube"
"910GFRNDXR","Farringdon","elizabeth","elizabeth-line"
"940GZZLUFCN","Farringdon","circle,hammersmith-city,metropolitan","tube"
"HUBZFD","Farringdon","circle,elizabeth,hammersmith-city,metropolitan,thameslink","bus,elizabeth-line,national-rail,tube"
"9100FRNDXR0","Farringdon Station","elizabeth","elizabeth-line"
"9100FRNDXR1","Farringdon Station","elizabeth","elizabeth-line"
"940GZZLUFYC","Finchley Central","northern","tube"
"940GZZLUFYR","Finchley Road","jubilee,metropolitan","tube"
"910GFNCHLYR","Finchley Road & Frognal","mildmay","overground"
"9100FNCHLRY1","Finchley Road & Frognal Station","mildmay","overground"
"9100FNCHLYR0","Finchley Road & Frognal Station","mildmay","overground"
"940GZZLUFPK","Finsbury Park","piccadilly,victoria","tube"
"HUBFPK","Finsbury Park","106,153,19,236,253,254,259,29,310,4,great-northern,n19,n253,n279,n29,piccadilly,thameslink,victoria","bus,national-rail,tube"
"910GFRSTGT","Forest Gate","elizabeth","elizabeth-line"
"9100FRSTGT0","Forest Gate Station","elizabeth","elizabeth-line"
"9100FRSTGT1","Forest Gate Station","elizabeth","elizabeth-line"
"910GFORESTH","Forest Hill","southern,windrush","national-rail,overground"
"9100FORESTH0","Forest Hill Station","southern,windrush","national-rail,overground"
"9100FORESTH1","Forest Hill Station","southern,windrush","national-rail,overground"
"940GZZLUFBY","Fulham Broadway","district","tube"
"940GZZDLGAL","Gallions Reach","dlr","dlr"
"940GZZLUGTH","Gants Hill","central","tube"
"9400ZZLUGTH2","Gants Hill Station","central","tube"
"910GGIDEAPK","Gidea Park","elizabeth,greater-anglia","elizabeth-line,national-rail"
"9100GIDEAPK1","Gidea Park Station","elizabeth","elizabeth-line"
"940GZZLUGTR","Gloucester Road","circle,district,piccadilly","tube"
"940GZZLUGGN","Golders Green","northern","tube"
"940GZZLUGHK","Goldhawk Road","circle,hammersmith-city","tube"
"940GZZLUGDG","Goodge Street","northern","tube"
"9400ZZLUGDG2","Goodge Street Station","northern","tube"
"910GGODMAYS","Goodmayes","elizabeth","elizabeth-line"
"9100GODMAYS1","Goodmayes Station","elizabeth","elizabeth-line"
"9100GODMAYS2","Goodmayes Station","elizabeth","elizabeth-line"
"910GGOSPLOK","Gospel Oak","mildmay,suffragette","overground"
"9100GOSPLOK1","Gospel Oak Station","mildmay","overground"
"9100GOSPLOK2","Gospel Oak Station","suffragette","overground"
"9100GOSPLOK3","Gospel Oak Station","mildmay","overground"
"940GZZLUGGH","Grange Hill","462,central","bus,tube"
"940GZZLUGPS","Great Portland Street","circle,hammersmith-city,metropolitan","tube"
"940GZZLUGPK","Green Park","jubilee,piccadilly,victoria","tube"
"9400ZZLUGPK6","Green Park Station","piccadilly","tube"
"940GZZLUGFD","Greenford","central","tube"
"HUBGFD","Greenford","395,central,great-western-railway","bus,national-rail,tube"
"940GZZDLGRE","Greenwich","dlr","dlr"
"HUBGNW","Greenwich","dlr,southeastern,thameslink","bus,dlr,national-rail"
"910GGNRSBRY","Gunnersbury","mildmay","overground"
"940GZZLUGBY","Gunnersbury","district","tube"
"HUBGUN","Gunnersbury","district,mildmay","bus,overground,tube"
"9100GNRSBRY0","Gunnersbury Station","mildmay","overground"
"9400ZZLUGBY2","Gunnersbury Station","district","tube"
"910GHACKNYC","Hackney Central","mildmay","overground"
"9100HACKNYC1","Hackney Central Station","mildmay","overground"
"9100HACKNYC2","Hackney Central Station","mildmay","overground"
"910GHAKNYNM","Hackney Downs","greater-anglia,weaver","national-rail,overground"
"9100HAKNYNM1","Hackney Downs Station","greater-anglia,weaver","national-rail,overground"
"9100HAKNYNM2","Hackney Downs Station","greater-anglia,weaver","national-rail,overground"
"910GHACKNYW","Hackney Wick","mildmay","overground"
"9100HACKNYW0","Hackney Wick Station","mildmay","overground"
"9100HACKNYW1","Hackney Wick Station","mildmay","overground"
"910GHAGGERS","Haggerston","windrush","overground"
"9100HAGGERS0","Haggerston Station","windrush","overground"
"9100HAGGERS1","Haggerston Station","windrush","overground"
"940GZZLUHLT","Hainault","central","tube"
"HUBHMS","Hammersmith","110,190,211,218,220,267,27,295,306,533,72,9,circle,district,h91,hammersmith-city,n11,n266,n27,n33,n72,n9,n97,piccadilly","bus,tube"
"940GZZLUHSD","Hammersmith (Dist&Picc Line)","district,piccadilly","tube"
"940GZZLUHSC","Hammersmith (H&C Line)","circle,hammersmith-city","tube"
"940GZZLUHTD","Hampstead","northern","tube"
"910GHMPSTDH","Hampstead Heath","mildmay","overground"
"9100HMPSTDH0","Hampstead Heath Station","mildmay","overground"
"9100HMPSTDH1","Hampstead Heath Station","mildmay","overground"
"940GZZLUHGR","Hanger Lane","central","tube"
